"population"	"id_pl"	"bud_h"	"shoot_h"	"veg_h_min"	"veg_h_max"	"veg_h_mean"	"diff_veg_h_max_shoot_h"	"diff_veg_h_mean_shoot_h"	"a"	"b"	"c"	"d"	"e"	"f"	"n_fl"	"phen_index"	"most_adv"	"phen_index_p"	"most_adv_p"	"fr_int_h_max"	"fr_pred_h_max"	"n_intact_fruits"	"n_predated_fr"	"n_fruits_total"	"n_predated"	"fruit_set"	"n_fl_corrected"	"n_eggs_max"	"n_redants"	"n_blackants"	"dist_closest_redants"	"dist_closest_redants1"	"days_datalog"	"avg_d_mean"	"avg_d_sd"	"avg_d_min"	"avg_d_max"	"avg_d_range"	"avg_day_mean"	"avg_day_sd"	"avg_day_min"	"avg_day_max"	"avg_day_range"	"avg_d_mean_ja"	"avg_d_sd_ja"	"avg_d_min_ja"	"avg_d_max_ja"	"avg_d_range_ja"	"avg_day_mean_ja"	"avg_day_sd_ja"	"avg_day_min_ja"	"avg_day_max_ja"	"avg_day_range_ja"	"higher_veg_max"	"higher_veg_mean"	"attack"	"redants_pres"	"prop_pred"	"id"	"z.bud_h"	"z.shoot_h"	"z.veg_h_min"	"z.veg_h_max"	"z.veg_h_mean"	"z.diff_veg_h_max_shoot_h"	"z.diff_veg_h_mean_shoot_h"	"z.phen_index"	"z.most_adv"	"z.n_fl_corrected"	"z.n_eggs_max"	"z.n_redants"	"z.dist_closest_redants"	"z.dist_closest_redants1"	"z.avg_d_mean"	"z.avg_d_sd"	"z.avg_d_min"	"z.avg_d_max"	"z.avg_d_range"	"z.avg_day_mean"	"z.avg_day_sd"	"z.avg_day_min"	"z.avg_day_max"	"z.avg_day_range"	"z.avg_d_mean_ja"	"z.avg_d_sd_ja"	"z.avg_d_min_ja"	"z.avg_d_max_ja"	"z.avg_d_range_ja"	"z.avg_day_mean_ja"	"z.avg_day_sd_ja"	"z.avg_day_min_ja"	"z.avg_day_max_ja"	"z.avg_day_range_ja"	"z.n_predated"
"12"	"Högsjön"	"H_15_016"	14,2	22	5	50	27,5	28	5,5	2	1	0	0	0	0	3	1,333333333	2	2,306477093	3,45971564	44,3	NA	1	0	1	0	0,333333333	3	0	1	2	17	0	73	16,1686644	1,35753736	14,6232877	18,2808219	3,65753425	16,8657534	1,1996685	15,390411	18,2808219	2,89041096	16,5504032	1,40658433	14,9032258	18,7096774	3,80645161	17,2967742	1,18073693	15,8548387	18,7096774	2,85483871	"0"	"0"	"0"	"1"	0	12	-0,260139506795806	-0,0976174037430864	-1,23866823905074	0,869653282504827	-0,0968682704608183	0,959957018953998	-0,051559426675155	-0,617450086939997	-0,322494815687657	-0,328090482408496	-0,674868801035709	-0,501670210760891	-0,386780812039034	-0,297216046180966	0,795215469650921	-0,821957363916033	1,56109065344782	0,108068306773032	-0,818652683991868	0,452829185302095	-0,635350571545146	1,07793501438002	0,108229689229563	-0,661361048541075	0,719607795534547	-0,957360614991594	1,61140516670707	-0,0379070975360769	-0,932998883278902	0,314859143516348	-0,781690808947488	1,1229106068877	-0,0378814302278038	-0,803687334110273	-0,717062670838412
"13"	"Högsjön"	"H_15_017"	18,7	33	5	50	27,5	17	-5,5	3	5	0	0	0	0	8	1,625	2	2,811018957	3,45971564	NA	NA	0	0	0	1	0	8	7	1	0	6	0	73	16,3210616	1,53922137	14,5	18,6643836	4,16438356	17,1424658	1,28812578	15,7123288	18,6643836	2,95205479	16,8205645	1,64769125	14,8870968	19,3387097	4,4516129	17,7193548	1,33146254	16,2419355	19,3387097	3,09677419	"0"	"1"	"1"	"1"	0,125	13	0,134454127107944	1,53489040697295	-1,23866823905074	0,869653282504827	-0,0968682704608183	0,283708050557643	-0,874978540754176	-0,21662311987295	-0,322494815687657	1,28573120865927	0,369184245643167	-0,501670210760891	-0,4608310416057	-0,297216046180966	0,916388538476707	-0,563680234583632	1,45782088627916	0,28475742288439	-0,563951049933705	0,639138668955406	-0,489699393065795	1,35335892226272	0,284903342755203	-0,621583901134458	0,961826428542283	-0,612023365454729	1,59649016861868	0,273409067786435	-0,602112505995483	0,627516234242804	-0,527604358382439	1,50574841857316	0,273440302257494	-0,643250346450417	-0,14379093135546
"14"	"Högsjön"	"H_15_018"	8,6	18	5	50	27,5	32	9,5	2	1	0	0	0	0	3	1,333333333	2	2,306477093	3,45971564	NA	NA	0	0	0	0	0	5	1	4	2	6	0	73	16,052226	1,53877568	14,3356164	18,4931507	4,15753425	16,8589041	1,32923472	15,4109589	18,4931507	3,08219178	16,5504032	1,75286693	14,6451613	19,4354839	4,79032258	17,4741935	1,50100087	15,8548387	19,4354839	3,58064516	"0"	"0"	"1"	"1"	0	14	-0,751189362320472	-0,691256607639827	-1,23866823905074	0,869653282504827	-0,0968682704608183	1,20586573473449	0,247865705717216	-0,617450086939997	-0,322494815687657	0,317438194018609	-0,525718365795869	-0,179623444107183	-0,4608310416057	-0,297216046180966	0,702633727616524	-0,564313815567298	1,32012786338761	0,205878354014415	-0,567392961394867	0,448217575752301	-0,422010610898438	1,09551522559165	0,206031176825209	-0,537609913238454	0,719607795534547	-0,461380322735883	1,37276473492704	0,321303862451438	-0,428397156511284	0,446127361169319	-0,241804271028829	1,1229106068877	0,32133595340908	-0,322376364499309	-0,717062670838412
"15"	"Högsjön"	"H_15_020"	10,5	12	25	25	25	13	13	0	1	0	0	0	0	1	2	2	3,45971564	3,45971564	41,6	NA	1	0	1	0	1	1	0	0	10	14	14	73	16,7303082	2,60402969	13,5616438	20,6506849	7,0890411	18,0876712	2,22635244	15,1643836	20,6506849	5,48630137	17,4052419	2,57320828	14,1612903	21,1290323	6,96774194	18,7774194	2,0993365	15,9677419	21,1290323	5,16129032	"0"	"0"	"0"	"0"	0	15	-0,584583161338889	-1,58171541348494	0,164908710958138	-0,583926508972239	-0,27671561083844	0,03779933477715	0,509862696560541	0,298725837195712	-0,322494815687657	-0,9736191588356	-0,674868801035709	-0,609019132978794	-0,406976329193579	-0,185115888992413	1,24178602890645	0,950022793981497	0,671823367505865	1,19975446515384	0,905746234449547	1,27554213342003	1,05515727344876	0,884552263266021	1,19982031093458	1,01369897757981	1,48603089668231	0,713593939679971	0,925313867543764	1,15946271959768	0,688344370025718	1,41035245444944	0,76684300844347	1,23457160232937	1,15950979906964	0,725811970793769	-0,717062670838412
"16"	"Högsjön"	"H_15_022"	17,4	22	20	40	30	18	8	0	1	0	0	0	0	1	2	2	3,45971564	3,45971564	NA	40,3	0	1	1	1	0,5	2	0	2	2	14	0	73	15,7679795	1,18128012	14,3835616	17,5684932	3,18493151	16,3835616	1,00723329	15,2123288	17,5684932	2,35616438	16,1491935	1,31135837	14,6290323	18,1612903	3,53225806	16,8516129	1,08204133	15,5806452	18,1612903	2,58064516	"0"	"0"	"0"	"1"	0,5	16	0,0204604106468609	-0,0976174037430864	-0,18598552654408	0,288221365914	0,0829790699168038	0,345185229502766	0,135581281070077	0,298725837195712	-0,322494815687657	-0,650854820622048	-0,674868801035709	-0,394321288542988	-0,406976329193579	-0,297216046180966	0,476625502347366	-1,07251994215972	1,36028831443711	-0,220068544178856	-1,05614475069383	0,128171145836353	-0,952208778324976	0,925572841650371	-0,219878445498617	-1,00609636047968	0,35989504214076	-1,09375268167681	1,35784973683866	-0,309310917473992	-1,07362559452188	-0,0145048570128011	-0,948067410046584	0,851733889543673	-0,309290103589392	-0,985515924103614	-0,14379093135546
"17"	"Högsjön"	"H_15_023"	8,6	26,5	40	40	40	13,5	13,5	3	0	0	0	0	0	3	1	1	1,72985782	1,72985782	NA	NA	0	0	0	0	0	3	0	3	3	11	0	73	15,5667808	1,00273971	14,3767123	17,0616438	2,68493151	16,0890411	0,84284996	15,0890411	17,0616438	1,97260274	15,9495968	1,11664973	14,6451613	17,6451613	3	16,5387097	0,9198453	15,4516129	17,6451613	2,19354839	"0"	"0"	"0"	"1"	0	17	-0,751189362320472	0,570226700640747	1,21759142346479	0,288221365914	0,802368431427292	0,0685379242497116	0,547290838109588	-1,07553804832072	-1,16487351528559	-0,328090482408496	-0,674868801035709	-0,286972366325086	-0,427171846348124	-0,297216046180966	0,316649702773892	-1,32632821381021	1,3545511191105	-0,45355059540444	-1,30740447329083	-0,0701284687827063	-1,22287757728488	0,820091317708948	-0,453340064021213	-1,25359863108492	0,180942542923236	-1,37263371171387	1,37276473492704	-0,564749789359812	-1,34660685360099	-0,246014311519228	-1,22149017846956	0,724121252681935	-0,564733543403062	-1,24221510568566	-0,717062670838412
"18"	"Högsjön"	"H_15_025"	8,1	14,5	25	25	25	10,5	10,5	0	1	0	0	0	0	1	2	2	3,45971564	3,45971564	NA	39,5	0	1	1	1	1	1	0	0	1	10	10	73	16,2380137	1,61914209	14,3356164	18,7945205	4,45890411	17,1123288	1,3394658	15,7123288	18,7945205	3,08219178	16,8467742	1,87673847	14,6774194	19,8225806	5,14516129	17,8677419	1,52776978	16,2903226	19,8225806	3,53225806	"0"	"0"	"0"	"0"	1	18	-0,795033099420889	-1,21069091104948	0,164908710958138	-0,583926508972239	-0,27671561083844	-0,115893612585658	0,322721988815309	0,298725837195712	-0,322494815687657	-0,9736191588356	-0,674868801035709	-0,609019132978794	-0,43390368539964	-0,217144505331999	0,850356033269675	-0,450067076574963	1,32012786338761	0,344705467317586	-0,415948746549473	0,618847533072591	-0,405164412834056	1,35335892226272	0,344846140958206	-0,537609913238454	0,9853252705509	-0,283959214625441	1,40259482357699	0,512882991620159	-0,246409648748967	0,737304234419184	-0,19667844717318	1,55360314503384	0,512918508523247	-0,354463764683838	-0,14379093135546
"19"	"Högsjön"	"H_15_026"	7,8	27	50	50	50	23	23	1	1	0	0	0	0	2	1,5	2	2,59478673	3,45971564	NA	34,8	0	1	1	1	0,5	2	0	5	1	60	0	73	15,6883562	0,93976704	14,6027397	17,1986301	2,59589041	16,1356164	0,85790333	15,0068493	17,1986301	2,19178082	15,9657258	1,0308163	14,7580645	17,6129032	2,85483871	16,4774194	0,90455388	15,2903226	17,6129032	2,32258065	"0"	"0"	"0"	"1"	0,5	19	-0,821339341681138	0,64443160112784	1,91937989846923	0,869653282504827	1,52175779293778	0,652571124228382	1,25842552754147	-0,388406105562504	-0,322494815687657	-0,650854820622048	-0,674868801035709	-0,0722745218892809	-0,0973117328238823	-0,297216046180966	0,413315942781729	-1,41584847722798	1,54387898370476	-0,390447349521534	-1,3521493574623	-0,0387694834463132	-1,19809113708928	0,749770301748002	-0,390242340489485	-1,11216876216764	0,195403327394519	-1,49557286515881	1,47716990649208	-0,580714737411908	-1,42105628836154	-0,291361511290708	-1,24726776617944	0,564605530779581	-0,58069877695098	-1,15664870961452	-0,14379093135546
"20"	"Högsjön"	"H_15_027"	7	11	15	15	15	4	4	0	1	0	0	0	0	1	2	2	3,45971564	3,45971564	NA	NA	0	0	0	0	0	1	0	1	0	80	0	73	16,7928082	2,60415611	14,0684932	21,1164384	7,04794521	18,0767123	2,44437539	15,2671233	21,1164384	5,84931507	17,453629	2,81943559	14,4516129	22,1612903	7,70967742	18,8774194	2,57654868	15,8870968	22,1612903	6,27419355	"0"	"0"	"0"	"1"	0	20	-0,891489321041805	-1,73012521445912	-0,536879764046299	-1,16535842556307	-0,996104972348929	-0,515495275728959	-0,163843851322294	0,298725837195712	-0,322494815687657	-0,9736191588356	-0,674868801035709	-0,501670210760891	0,0373250482064206	-0,297216046180966	1,29148062173106	0,950202509272294	1,09637682683371	1,41430553800801	0,885094750606993	1,26816354467443	1,41414750696086	0,972453490438598	1,41435260779152	1,24794220120042	1,5294133397532	1,06626511973677	1,19378438797373	1,67034046336933	1,06886370210659	1,48434001817727	1,57130582655785	1,15481379082807	1,67039667869698	1,46382212861818	-0,717062670838412
"21"	"Högsjön"	"H_15_030"	9,7	23	40	40	40	17	17	1	1	0	0	0	0	2	1,5	2	2,59478673	3,45971564	36,6	NA	1	0	1	0	0,5	2	0	15	5	5	0	73	15,9648973	1,26957975	14,4589041	17,8835616	3,42465753	16,630137	1,0764456	15,3630137	17,8767123	2,51369863	16,4495968	1,44192181	14,7741935	18,5967742	3,82258065	17,2258065	1,18933962	15,8225806	18,5967742	2,77419355	"0"	"0"	"0"	"1"	0	21	-0,654733140699555	0,0507923972310988	1,21759142346479	0,288221365914	0,802368431427292	0,283708050557643	0,809287828952913	-0,388406105562504	-0,322494815687657	-0,650854820622048	-0,674868801035709	1,00121470028974	-0,467562880657215	-0,297216046180966	0,633197500602075	-0,946995549795677	1,42339763055627	-0,0749311201070053	-0,935677764124866	0,294189493606849	-0,838245806404766	1,0544946472073	-0,077908602098233	-0,904443638969019	0,629227758103457	-0,906746770524733	1,49208490458047	-0,093784341481485	-0,924726719872044	0,26235187125267	-0,767188781273416	1,09100742294732	-0,0937596734072632	-0,857166329996892	-0,717062670838412
