population	id_pl	bud_h	shoot_h	veg_h_min	veg_h_max	veg_h_mean	diff_veg_h_max_shoot_h	diff_veg_h_mean_shoot_h	a	b	c	d	e	f	n_fl	phen_index	most_adv	phen_index_p	most_adv_p	fr_int_h_max	fr_pred_h_max	n_intact_fruits	n_predated_fr	n_fruits_total	n_predated	fruit_set	n_fl_corrected	n_eggs_max	n_redants	n_blackants	dist_closest_redants	dist_closest_redants1	days_datalog	avg_d_mean	avg_d_sd	avg_d_min	avg_d_max	avg_d_range	avg_day_mean	avg_day_sd	avg_day_min	avg_day_max	avg_day_range	avg_d_mean_ja	avg_d_sd_ja	avg_d_min_ja	avg_d_max_ja	avg_d_range_ja	avg_day_mean_ja	avg_day_sd_ja	avg_day_min_ja	avg_day_max_ja	avg_day_range_ja
Högsjön	H_15_015	13	30	10	45	27,5	15	-2,5	1	1	0	0	0	0	2	1,5	2	2,59478673	3,45971564	49,4		1	0	1	0	0,5	2	0	15	2	60	0	73	15,5196918	1,44419885	13,869863	17,9589041	4,0890411	16,2561644	1,28091606	14,7945205	17,9589041	3,16438356	16,0383065	1,5142299	14,3064516	18,516129	4,20967742	16,8354839	1,29378062	15,3387097	18,516129	3,17741935
Högsjön	H_15_016	14,2	22	5	50	27,5	28	5,5	2	1	0	0	0	0	3	1,333333333	2	2,306477093	3,45971564	44,3		1	0	1	0	0,333333333	3	0	1	2	17	0	73	16,1686644	1,35753736	14,6232877	18,2808219	3,65753425	16,8657534	1,1996685	15,390411	18,2808219	2,89041096	16,5504032	1,40658433	14,9032258	18,7096774	3,80645161	17,2967742	1,18073693	15,8548387	18,7096774	2,85483871
Högsjön	H_15_017	18,7	33	5	50	27,5	17	-5,5	3	5	0	0	0	0	8	1,625	2	2,811018957	3,45971564			0	0	0	1	0	8	7	1	0	6	0	73	16,3210616	1,53922137	14,5	18,6643836	4,16438356	17,1424658	1,28812578	15,7123288	18,6643836	2,95205479	16,8205645	1,64769125	14,8870968	19,3387097	4,4516129	17,7193548	1,33146254	16,2419355	19,3387097	3,09677419
Högsjön	H_15_018	8,6	18	5	50	27,5	32	9,5	2	1	0	0	0	0	3	1,333333333	2	2,306477093	3,45971564			0	0	0	0	0	5	1	4	2	6	0	73	16,052226	1,53877568	14,3356164	18,4931507	4,15753425	16,8589041	1,32923472	15,4109589	18,4931507	3,08219178	16,5504032	1,75286693	14,6451613	19,4354839	4,79032258	17,4741935	1,50100087	15,8548387	19,4354839	3,58064516
Högsjön	H_15_020	10,5	12	25	25	25	13	13	0	1	0	0	0	0	1	2	2	3,45971564	3,45971564	41,6		1	0	1	0	1	1	0	0	10	14	14	73	16,7303082	2,60402969	13,5616438	20,6506849	7,0890411	18,0876712	2,22635244	15,1643836	20,6506849	5,48630137	17,4052419	2,57320828	14,1612903	21,1290323	6,96774194	18,7774194	2,0993365	15,9677419	21,1290323	5,16129032
Högsjön	H_15_022	17,4	22	20	40	30	18	8	0	1	0	0	0	0	1	2	2	3,45971564	3,45971564		40,3	0	1	1	1	0,5	2	0	2	2	14	0	73	15,7679795	1,18128012	14,3835616	17,5684932	3,18493151	16,3835616	1,00723329	15,2123288	17,5684932	2,35616438	16,1491935	1,31135837	14,6290323	18,1612903	3,53225806	16,8516129	1,08204133	15,5806452	18,1612903	2,58064516
Högsjön	H_15_023	8,6	26,5	40	40	40	13,5	13,5	3	0	0	0	0	0	3	1	1	1,72985782	1,72985782			0	0	0	0	0	3	0	3	3	11	0	73	15,5667808	1,00273971	14,3767123	17,0616438	2,68493151	16,0890411	0,84284996	15,0890411	17,0616438	1,97260274	15,9495968	1,11664973	14,6451613	17,6451613	3	16,5387097	0,9198453	15,4516129	17,6451613	2,19354839
Högsjön	H_15_025	8,1	14,5	25	25	25	10,5	10,5	0	1	0	0	0	0	1	2	2	3,45971564	3,45971564		39,5	0	1	1	1	1	1	0	0	1	10	10	73	16,2380137	1,61914209	14,3356164	18,7945205	4,45890411	17,1123288	1,3394658	15,7123288	18,7945205	3,08219178	16,8467742	1,87673847	14,6774194	19,8225806	5,14516129	17,8677419	1,52776978	16,2903226	19,8225806	3,53225806
Högsjön	H_15_026	7,8	27	50	50	50	23	23	1	1	0	0	0	0	2	1,5	2	2,59478673	3,45971564		34,8	0	1	1	1	0,5	2	0	5	1	60	0	73	15,6883562	0,93976704	14,6027397	17,1986301	2,59589041	16,1356164	0,85790333	15,0068493	17,1986301	2,19178082	15,9657258	1,0308163	14,7580645	17,6129032	2,85483871	16,4774194	0,90455388	15,2903226	17,6129032	2,32258065
Högsjön	H_15_027	7	11	15	15	15	4	4	0	1	0	0	0	0	1	2	2	3,45971564	3,45971564			0	0	0	0	0	1	0	1	0	80	0	73	16,7928082	2,60415611	14,0684932	21,1164384	7,04794521	18,0767123	2,44437539	15,2671233	21,1164384	5,84931507	17,453629	2,81943559	14,4516129	22,1612903	7,70967742	18,8774194	2,57654868	15,8870968	22,1612903	6,27419355
Högsjön	H_15_030	9,7	23	40	40	40	17	17	1	1	0	0	0	0	2	1,5	2	2,59478673	3,45971564	36,6		1	0	1	0	0,5	2	0	15	5	5	0	73	15,9648973	1,26957975	14,4589041	17,8835616	3,42465753	16,630137	1,0764456	15,3630137	17,8767123	2,51369863	16,4495968	1,44192181	14,7741935	18,5967742	3,82258065	17,2258065	1,18933962	15,8225806	18,5967742	2,77419355
Högsjön	H_15_032	10,5	24	30	40	35	16	11	1	1	0	0	0	0	2	1,5	2	2,59478673	3,45971564			1	0	1	1	0,5	2	1	11	7	5	0	73	16,0710616	1,34862532	14,5136986	18,1369863	3,62328767	16,7643836	1,18202244	15,3424658	18,1369863	2,79452055	16,6229839	1,60119992	14,7903226	19,0806452	4,29032258	17,4709677	1,36144955	15,9032258	19,0806452	3,17741935
Högsjön	H_15_033	7,7	19	35	35	35	16	16	1	1	0	0	0	0	2	1,5	2	2,59478673	3,45971564			0	0	0	0	0	2	0	18	4	20	0	73	15,9229452	1,26738676	14,4520548	17,8150685	3,3630137	16,5739726	1,11081303	15,1849315	17,8150685	2,63013699	16,4415323	1,44788342	14,7580645	18,6129032	3,85483871	17,2096774	1,22936321	15,6935484	18,6129032	2,91935484
