"id_pl"	"population"	"shoot_h"	"veg_height"	"fl_phenology"	"n_intact_fruits"	"fl_number"	"n_eggs"	"n_myrmica"	"soil_temp"
"77"	"H_15_120"	"Högsjön"	21	25	1	0	3	6	7	12,7903226
"78"	"H_15_121"	"Högsjön"	20	25	2	0	3	14	7	13,016129
"79"	"H_15_122"	"Högsjön"	14	37,5	1	0	1	0	1	13,1774194
"80"	"H_15_123"	"Högsjön"	15	37,5	2	1	1	0	1	13,2096774
"81"	"H_15_124"	"Högsjön"	21	27,5	1	1	2	6	8	13,2096774
"82"	"H_15_125"	"Högsjön"	18	50	1	0	1	0	0	13,2903226
"83"	"H_15_126"	"Högsjön"	21	25	1	0	4	4	3	11,6935484
"84"	"H_15_128"	"Högsjön"	25	30	2	0	3	13	4	13,483871
"85"	"H_15_129"	"Högsjön"	26	30	2	0	4	13	2	12,4032258
"86"	"H_15_132"	"Högsjön"	22	25	1	1	2	4	5	12,983871
"87"	"H_15_133"	"Högsjön"	21	40	1	0	3	11	40	14,1612903
"88"	"H_15_134"	"Högsjön"	18	17,5	2	0	2	1	1	12,9193548
"89"	"H_15_135"	"Högsjön"	23	30	2	0	2	2	15	13,0322581
"90"	"H_15_137"	"Högsjön"	24	40	2	0	1	5	21	13,9032258
"91"	"H_15_138"	"Högsjön"	19	30	2	0	1	0	2	13,5483871
"92"	"H_15_139"	"Högsjön"	21,5	45	2	0	4	0	16	12,8870968
"93"	"H_15_140"	"Högsjön"	23	40	1	0	3	2	7	13,3225806
"94"	"H_15_141"	"Högsjön"	24	40	1	0	4	0	4	13,5322581
"95"	"H_15_142"	"Högsjön"	34	45	1	0	3	2	2	13,1290323
"96"	"H_15_143"	"Högsjön"	15,5	35	2	0	1	9	6	13,3064516
"97"	"H_15_144"	"Högsjön"	17	25	2	0	2	0	15	13,1935484
"98"	"H_15_145"	"Högsjön"	19	60	1	1	1	0	1	13,3064516
"99"	"H_15_147"	"Högsjön"	13,5	40	2	0	1	0	4	15,2741935
"100"	"H_15_148"	"Högsjön"	18	40	2	1	2	0	10	15,5806452
"101"	"H_15_149"	"Högsjön"	27	70	2	0	2	0	40	14,0483871
"102"	"H_15_152"	"Högsjön"	21	27,5	2	1	1	0	1	15,1290323
"103"	"H_15_154"	"Högsjön"	19	40	1	1	4	0	11	13,1290323
"104"	"H_15_155"	"Högsjön"	12,5	20	1	0	1	0	0	14,8709677
"105"	"R_15_001"	"Remmene"	18	31	1	0	2	0	1	11,9
"106"	"R_15_002"	"Remmene"	28	110	1	1	1	0	3	12,4166667
"107"	"R_15_003"	"Remmene"	30	110	1	1	1	0	1	12,1666667
"108"	"R_15_004"	"Remmene"	37	37,5	1	0	2	0	1	11,6
"109"	"R_15_005"	"Remmene"	24	27,5	2	0	2	7	3	11,6
"110"	"R_15_006"	"Remmene"	25	30	3	0	2	8	4	12,3
"111"	"R_15_007"	"Remmene"	20	15	1	0	1	0	3	12,0666667
"112"	"R_15_008"	"Remmene"	21	20	1	0	1	1	0	12,0333333
"113"	"R_15_009"	"Remmene"	21	20	2	1	1	4	0	12,4833333
"114"	"R_15_010"	"Remmene"	23	20	3	0	5	9	0	12,05
"115"	"R_15_011"	"Remmene"	25	30	1	0	1	0	3	11,95
"116"	"R_15_012"	"Remmene"	25	30	1	0	1	0	2	11,9166667
"117"	"R_15_013"	"Remmene"	28	30	1	0	2	1	1	11,4666667
"118"	"R_15_014"	"Remmene"	22	21	2	0	2	4	0	11,35
"119"	"R_15_015"	"Remmene"	21	31	1	1	1	1	3	11,9333333
"120"	"R_15_016"	"Remmene"	24	22,5	1	1	1	0	0	12,1
"121"	"R_15_017"	"Remmene"	30	23,5	2	2	5	3	0	12,55
"122"	"R_15_018"	"Remmene"	27	30	2	0	3	1	1	12,15
"123"	"R_15_019"	"Remmene"	32	12	3	0	9	11	1	12,1166667
"124"	"R_15_020"	"Remmene"	34	50	4	0	8	33	0	12,0333333
"125"	"R_15_021"	"Remmene"	24	35	1	0	1	0	4	11,5666667
"126"	"R_15_022"	"Remmene"	28	26	2	0	5	4	1	12,25
"127"	"R_15_023"	"Remmene"	34	32	2	0	5	13	15	12,1166667
"128"	"R_15_024"	"Remmene"	27	25	3	0	10	29	18	12,55
"129"	"R_15_025"	"Remmene"	16	15	1	0	1	0	2	12,1
"130"	"R_15_026"	"Remmene"	17	15	1	0	2	0	0	12,3166667
"131"	"R_15_027"	"Remmene"	18	25	1	0	1	0	0	12,45
"132"	"R_15_028"	"Remmene"	14	16	1	0	1	0	0	12,2833333
"133"	"R_15_029"	"Remmene"	13	20	2	0	1	0	0	12,6
"134"	"R_15_030"	"Remmene"	18	21	2	0	3	6	0	13
"135"	"R_15_031"	"Remmene"	24	35	1	0	2	2	1	12,2
"136"	"R_15_032"	"Remmene"	21	30	1	0	1	4	0	11,4333333
"137"	"R_15_033"	"Remmene"	18	26	3	0	2	6	0	11,45
"138"	"R_15_034"	"Remmene"	21	26	2	0	4	14	0	11,9666667
"139"	"R_15_035"	"Remmene"	21	32	1	0	3	2	7	11,8448276
"140"	"R_15_036"	"Remmene"	20	18	3	0	2	4	0	12,5862069
"141"	"R_15_037"	"Remmene"	10	20	1	0	1	0	6	11,7413793
"142"	"R_15_038"	"Remmene"	13	15	1	0	1	1	0	12,1896552
"143"	"R_15_039"	"Remmene"	18	15	3	0	2	6	0	12,1724138
"144"	"R_15_040"	"Remmene"	12	20	1	0	1	0	0	13,2413793
"145"	"R_15_041"	"Remmene"	10	10,5	2	0	3	8	0	12,637931
"146"	"R_15_042"	"Remmene"	9	10	1	0	1	1	0	12,8448276
"147"	"R_15_043"	"Remmene"	13	15	1	0	3	9	1	11,9310345
"148"	"R_15_044"	"Remmene"	10	15	1	0	1	6	0	11,5689655
"149"	"R_15_045"	"Remmene"	10	10	1	0	1	0	0	13,0862069
"150"	"R_15_046"	"Remmene"	11	12	1	0	1	3	1	11,6896552
"151"	"R_15_047"	"Remmene"	10	10	1	1	3	5	0	11,9482759
"152"	"R_15_048"	"Remmene"	8	10	1	0	1	4	1	12,1206897
