"id_pl"	"population"	"shoot_h"	"veg_h_mean"	"n_intact_fruits"	"n_eggs_max"	"n_redants"	"pop"	"meanT"	"maxT"	"minT"	"sdT"	"rangeT"	"a1"	"b1"	"c1"	"d1"	"e1"	"f1"	"n_fl1"	"phen_index1"	"most_adv1"	"a2"	"b2"	"c2"	"d2"	"e2"	"f2"	"n_fl2"	"phen_index2"	"most_adv2"	"n_fl"	"julian1"	"julian2"
"26"	"H_15_041"	"Högsjön"	18	10	2	0	0	"H"	19.6765957446809	22.4893617021277	17.063829787234	2.39730136980975	5.42553191489362	2	1	0	0	0	0	3	1.333333333	2	2	0	0	0	0	1	3	2.666666667	6	3	211	241
"27"	"H_15_043"	"Högsjön"	21.5	45	1	0	2	"H"	17.4063829787234	18.6170212765957	16.2127659574468	1.0362708088926	2.40425531914894	3	0	0	0	0	0	3	1	1	0	0	2	1	0	0	3	3.333333333	4	3	211	241
"28"	"H_15_046"	"Högsjön"	12	20	1	0	0	"H"	18.4382978723404	20.6170212765957	16.4042553191489	1.79859558618642	4.21276595744681	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	5	5	1	211	241
"29"	"H_15_047"	"Högsjön"	10	15	0	0	1	"H"	17.836170212766	19.2978723404255	16.1170212765957	1.37678049922411	3.18085106382979	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	2	2	1	211	241
"30"	"H_15_048"	"Högsjön"	23	35	0	0	0	"H"	17.863829787234	20.1063829787234	16	1.77567185539043	4.1063829787234	0	1	0	0	0	0	1	2	2	0	0	0	0	0	1	1	6	6	1	211	241
"31"	"H_15_049"	"Högsjön"	25.5	40	1	0	2	"H"	17.6851063829787	19.6808510638298	15.9893617021277	1.56675347837463	3.69148936170213	2	1	0	0	0	0	3	1.333333333	2	0	0	0	1	1	0	2	4.5	5	3	211	241
"32"	"H_15_053"	"Högsjön"	24	60	0	0	4	"H"	17.563829787234	18.9468085106383	16.063829787234	1.1851789326042	2.88297872340426	0	1	0	0	0	0	1	2	2	0	0	0	0	0	1	1	6	6	1	211	241
"33"	"H_15_056"	"Högsjön"	13	12.5	1	0	0	"H"	17.7042553191489	19.7234042553191	16.0212765957447	1.51870421190562	3.70212765957447	1	1	0	0	0	0	2	1.5	2	0	0	0	0	1	0	1	5	5	2	211	241
"34"	"H_15_057"	"Högsjön"	12.5	25	0	1	0	"H"	18.3872340425532	22.7553191489362	15.4255319148936	3.03324188996111	7.32978723404255	1	1	0	0	0	0	2	1.5	2	0	0	0	0	1	0	1	5	5	2	211	241
"35"	"H_15_058"	"Högsjön"	14	25	0	0	0	"H"	17.7510638297872	19.9148936170213	15.7765957446809	1.71688638851155	4.13829787234043	1	1	0	0	0	0	2	1.5	2	1	1	0	0	0	0	2	1.5	2	2	211	241
"36"	"H_15_059"	"Högsjön"	15	40	0	2	0	"H"	17.4914893617021	18.8829787234043	15.968085106383	1.27501443442197	2.91489361702128	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	3	3	1	211	241
