"id_pl"	"population"	"shoot_h"	"veg_h_mean"	"n_intact_fruits"	"n_eggs_max"	"n_redants"	"pop"	"meanT"	"maxT"	"minT"	"sdT"	"rangeT"	"redants_pres"	"ants_t"	"t_shoot_h"	"t_veg_h_mean"	"t_n_intact_fruits"	"t_n_eggs_max"	"t_n_redants"	"t_meanT"	"id"	"a1"	"b1"	"c1"	"d1"	"e1"	"f1"	"n_fl1"	"phen_index1"	"most_adv1"	"a2"	"b2"	"c2"	"d2"	"e2"	"f2"	"n_fl2"	"phen_index2"	"most_adv2"	"n_fl"	"julian1"	"julian2"
"16"	"H_15_023"	"Högsjön"	26.5	40	0	0	3	"H"	16.9510638297872	18.0531914893617	15.8617021276596	0.933277581247992	2.19148936170213	"1"	1.38629436111989	0.752721720977869	0.437051543819715	-0.654636253008874	-0.59331977671697	-0.245263289197881	0.186344395409151	16	3	0	0	0	0	0	3	1	1	2	0	0	0	1	0	3	2.333333333	5	3	211	241
"17"	"H_15_025"	"Högsjön"	14.5	25	0	0	0	"H"	18.2127659574468	20.1382978723404	16.6595744680851	1.51789318160215	3.47872340425532	"0"	0	-1.11375296167737	-0.831414332196574	-0.654636253008874	-0.59331977671697	-0.639707341928494	1.11433466944607	17	0	1	0	0	0	0	1	2	2	0	0	0	0	1	0	1	5	5	1	211	241
"18"	"H_15_026"	"Högsjön"	27	50	0	0	5	"H"	16.9297872340426	18.1170212765957	15.7127659574468	0.928525610728931	2.40425531914894	"1"	1.79175946922805	0.830491499421837	1.28269546116391	-0.654636253008874	-0.59331977671697	0.0176994126225276	0.170695318275308	18	1	1	0	0	0	0	2	1.5	2	0	0	1	0	1	0	2	4	5	2	211	241
"19"	"H_15_030"	"Högsjön"	23	40	1	0	15	"H"	17.5404255319149	18.9255319148936	16.1382978723404	1.19813499831354	2.78723404255319	"1"	2.77258872223978	0.208333271870092	0.437051543819715	1.29056861307464	-0.59331977671697	1.33251292172457	0.619823832016616	20	1	1	0	0	0	0	2	1.5	2	1	0	0	0	0	1	2	3.5	6	2	211	241
"20"	"H_15_032"	"Högsjön"	24	35	1	1	11	"H"	17.7255319148936	19.2446808510638	16.1702127659574	1.32234789753725	3.07446808510638	"1"	2.484906649788	0.363872828758028	0.0142295851476189	1.29056861307464	-0.393626389084074	0.806587518083754	0.755970803081054	21	1	1	0	0	0	0	2	1.5	2	0	0	0	1	0	1	2	5	6	2	211	241
"21"	"H_15_033"	"Högsjön"	19	35	0	0	18	"H"	17.4893617021277	18.8510638297872	16	1.21112148049639	2.85106382978723	"1"	2.94443897916644	-0.413824955681654	0.0142295851476189	-0.654636253008874	-0.59331977671697	1.72695697445518	0.58226604689539	22	1	1	0	0	0	0	2	1.5	2	1	0	0	0	1	0	2	3	5	2	211	241
"22"	"H_15_035"	"Högsjön"	22	22.5	1	1	8	"H"	17.2723404255319	18.4042553191489	16.0744680851064	0.98417124396165	2.32978723404255	"1"	2.19722457733622	0.0527937149821552	-1.04282531153262	1.29056861307464	-0.393626389084074	0.412143465353141	0.422645460130187	23	1	1	0	0	0	0	2	1.5	2	0	0	0	0	1	1	2	5.5	6	2	211	241
"23"	"H_15_037"	"Högsjön"	16.5	20	1	0	0	"H"	17.4297872340426	18.5531914893617	15.9787234042553	1.00958801400795	2.57446808510638	"0"	0	-0.802673847901495	-1.25423629086867	1.29056861307464	-0.59331977671697	-0.639707341928494	0.538448630920629	24	2	0	0	0	0	0	2	1	1	0	0	1	0	0	1	2	4.5	6	2	211	241
"24"	"H_15_038"	"Högsjön"	19	50	1	0	6	"H"	17.0765957446809	18.6170212765957	15.7872340425532	1.19474206195208	2.82978723404255	"1"	1.94591014905531	-0.413824955681654	1.28269546116391	1.29056861307464	-0.59331977671697	0.149180763532732	0.278673950498828	25	0	1	0	0	0	0	1	2	2	0	0	0	0	0	1	1	6	6	1	211	241
"25"	"H_15_039"	"Högsjön"	15	15	2	0	0	"H"	19.5255319148936	21.6595744680851	16.6489361702128	1.94557363505364	5.01063829787234	"0"	0	-1.0359831832334	-1.67705824954077	3.23577347915815	-0.59331977671697	-0.639707341928494	2.07988272860421	26	2	1	0	0	0	0	3	1.333333333	2	0	0	1	0	1	0	2	4	5	3	211	241
"26"	"H_15_041"	"Högsjön"	18	10	2	0	0	"H"	19.6765957446809	22.4893617021277	17.063829787234	2.39730136980975	5.42553191489362	"0"	0	-0.56936451256959	-2.09988020821286	3.23577347915815	-0.59331977671697	-0.639707341928494	2.1909911762545	27	2	1	0	0	0	0	3	1.333333333	2	2	0	0	0	0	1	3	2.666666667	6	3	211	241
"27"	"H_15_043"	"Högsjön"	21.5	45	1	0	2	"H"	17.4063829787234	18.6170212765957	16.2127659574468	1.0362708088926	2.40425531914894	"1"	1.09861228866811	-0.024976063461813	0.859873502491812	1.29056861307464	-0.59331977671697	-0.376744640108086	0.5212346460734	28	3	0	0	0	0	0	3	1	1	0	0	2	1	0	0	3	3.333333333	4	3	211	241
"28"	"H_15_046"	"Högsjön"	12	20	1	0	0	"H"	18.4382978723404	20.6170212765957	16.4042553191489	1.79859558618642	4.21276595744681	"0"	0	-1.50260185389721	-1.25423629086867	1.29056861307464	-0.59331977671697	-0.639707341928494	1.28021488706481	29	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	5	5	1	211	241
"29"	"H_15_047"	"Högsjön"	10	15	0	0	1	"H"	17.836170212766	19.2978723404255	16.1170212765957	1.37678049922411	3.18085106382979	"1"	0.693147180559945	-1.81368096767308	-1.67705824954077	-0.654636253008874	-0.59331977671697	-0.50822599101829	0.837346004177038	30	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	2	2	1	211	241
"30"	"H_15_048"	"Högsjön"	23	35	0	0	0	"H"	17.863829787234	20.1063829787234	16	1.77567185539043	4.1063829787234	"0"	0	0.208333271870092	0.0142295851476189	-0.654636253008874	-0.59331977671697	-0.639707341928494	0.857689804451035	31	0	1	0	0	0	0	1	2	2	0	0	0	0	0	1	1	6	6	1	211	241
"31"	"H_15_049"	"Högsjön"	25.5	40	1	0	2	"H"	17.6851063829787	19.6808510638298	15.9893617021277	1.56675347837463	3.69148936170213	"1"	1.09861228866811	0.597182164089933	0.437051543819715	1.29056861307464	-0.59331977671697	-0.376744640108086	0.72623755652675	32	2	1	0	0	0	0	3	1.333333333	2	0	0	0	1	1	0	2	4.5	5	3	211	241
"32"	"H_15_053"	"Högsjön"	24	60	0	0	4	"H"	17.563829787234	18.9468085106383	16.063829787234	1.1851789326042	2.88297872340426	"1"	1.6094379124341	0.363872828758028	2.1283393785081	-0.654636253008874	-0.59331977671697	-0.113781938287677	0.637037816863842	33	0	1	0	0	0	0	1	2	2	0	0	0	0	0	1	1	6	6	1	211	241
"33"	"H_15_056"	"Högsjön"	13	12.5	1	0	0	"H"	17.7042553191489	19.7234042553191	16.0212765957447	1.51870421190562	3.70212765957447	"0"	0	-1.34706229700927	-1.88846922887681	1.29056861307464	-0.59331977671697	-0.639707341928494	0.740321725947208	34	1	1	0	0	0	0	2	1.5	2	0	0	0	0	1	0	1	5	5	2	211	241
"34"	"H_15_057"	"Högsjön"	12.5	25	0	1	0	"H"	18.3872340425532	22.7553191489362	15.4255319148936	3.03324188996111	7.32978723404255	"0"	0	-1.42483207545324	-0.831414332196574	-0.654636253008874	-0.393626389084074	-0.639707341928494	1.24265710194358	35	1	1	0	0	0	0	2	1.5	2	0	0	0	0	1	0	1	5	5	2	211	241
"35"	"H_15_058"	"Högsjön"	14	25	0	0	0	"H"	17.7510638297872	19.9148936170213	15.7765957446809	1.71688638851155	4.13829787234043	"0"	0	-1.19152274012134	-0.831414332196574	-0.654636253008874	-0.59331977671697	-0.639707341928494	0.774749695641665	36	1	1	0	0	0	0	2	1.5	2	1	1	0	0	0	0	2	1.5	2	2	211	241
"36"	"H_15_059"	"Högsjön"	15	40	0	2	0	"H"	17.4914893617021	18.8829787234043	15.968085106383	1.27501443442197	2.91489361702128	"0"	0	-1.0359831832334	0.437051543819715	-0.654636253008874	-0.193933001451178	-0.639707341928494	0.583830954608776	37	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	3	3	1	211	241
"37"	"H_15_060"	"Högsjön"	19	40	1	0	0	"H"	17.5872340425532	19.9787234042553	15.5957446808511	1.73101540867429	4.38297872340426	"0"	0	-0.413824955681654	0.437051543819715	1.29056861307464	-0.59331977671697	-0.639707341928494	0.65425180171107	38	0	1	0	0	0	0	1	2	2	0	0	0	0	1	0	1	5	5	1	211	241
"38"	"H_15_065"	"Högsjön"	13	40	0	0	0	"H"	17.7553191489362	20.1276595744681	15.8085106382979	1.78485089564653	4.31914893617021	"0"	0	-1.34706229700927	0.437051543819715	-0.654636253008874	-0.59331977671697	-0.639707341928494	0.777879511068433	39	2	0	0	0	0	0	2	1	1	1	0	0	1	0	0	2	2.5	4	2	211	241
"39"	"H_15_067"	"Högsjön"	22.5	27.5	1	3	0	"H"	16.036170212766	18.1489361702128	13.2659574468085	1.93485430557191	4.88297872340426	"0"	0	0.130563493426123	-0.620003352860526	1.29056861307464	0.00576038618171813	-0.639707341928494	-0.486565921346118	40	1	2	0	0	0	0	3	1.666666667	2	0	0	0	1	0	1	2	5	6	3	211	241
